Time, Depth(RAW), Depth(AVG), Velocity(RAW), Velocity(AVG), Temperature(RAW), Battery(RAW), Quartile(RAW), Samples(RAW)
 , mm, mm, mm/s, mm/s, degC, V,  ,  
2017-8-12 00:00:00, 479, 483, 561, 546, 12.23, 12.84, 28, 200
2017-8-12 12:00:00, 479, 480, 550, 550, 12.30, 14.38, 22, 200
2017-8-13 00:00:00, 485, 485, 573, 548, 12.23, 12.84, 31, 200
2017-8-13 12:00:00, 482, 482, 514, 548, 12.30, 14.14, 52, 200
2017-8-14 00:00:00, 485, 485, 547, 548, 12.23, 12.81, 47, 200
2017-8-14 12:00:00, 482, 484, 409, 446, 12.89, 13.69, 89, 200
2017-8-15 00:00:00, 482, 487, 398, 381, 12.69, 12.81, 111, 200
2017-8-15 12:00:00, 482, 481, 298, 336, 12.56, 13.37, 109, 200
2017-8-16 00:00:00, 482, 486, 417, 340, 12.63, 12.79, 119, 200
2017-8-16 12:00:00, 482, 484, 357, 348, 12.49, 13.32, 96, 200
2017-8-17 00:00:00, 479, 493, 336, 344, 12.63, 12.81, 110, 200
2017-8-17 12:00:00, 493, 483, 308, 338, 12.63, 13.19, 109, 200
2017-8-18 00:00:00, 485, 492, 318, 339, 12.49, 12.81, 108, 200
2017-8-18 12:00:00, 490, 488, 495, 459, 12.36, 13.72, 64, 200
2017-8-19 00:00:00, 479, 490, 541, 520, 12.30, 12.87, 55, 200
2017-8-19 12:00:00, 490, 485, 502, 549, 12.36, 13.72, 58, 200
2017-8-20 00:00:00, 487, 492, 533, 541, 12.30, 12.81, 47, 200
2017-8-20 12:00:00, 485, 485, 621, 551, 12.36, 13.87, 50, 200
2017-8-21 00:00:00, 485, 491, 577, 548, 12.30, 12.84, 47, 200
2017-8-21 12:00:00, 493, 487, 505, 545, 12.30, 13.08, 56, 200
2017-8-22 00:00:00, 490, 492, 522, 547, 12.23, 12.79, 66, 200
2017-8-22 12:00:00, 487, 485, 513, 551, 12.23, 12.95, 53, 200
2017-8-23 00:00:00, 487, 499, 596, 555, 12.36, 12.79, 48, 200
2017-8-23 12:00:00, 493, 490, 623, 556, 12.30, 13.29, 43, 200
2017-8-24 00:00:00, 487, 494, 620, 544, 12.23, 12.73, 52, 200
2017-8-24 12:00:00, 487, 492, 443, 512, 12.30, 13.24, 66, 200
2017-8-25 00:00:00, 490, 495, 462, 500, 12.43, 12.81, 85, 200
2017-8-25 12:00:00, 503, 493, 489, 504, 12.43, 13.37, 73, 200
2017-8-26 00:00:00, 493, 497, 458, 420, 12.36, 12.81, 92, 200
2017-8-26 12:00:00, 490, 492, 412, 402, 12.49, 13.53, 109, 200
2017-8-27 00:00:00, 487, 491, 522, 540, 12.23, 12.81, 48, 200
2017-8-27 12:00:00, 493, 489, 639, 569, 12.30, 13.37, 48, 200
2017-8-28 00:00:00, 490, 494, 580, 542, 13.02, 12.73, 74, 184
2017-8-28 12:00:00, 493, 492, 520, 543, 13.02, 12.71, 169, 17
2017-8-29 00:00:00, 490, 495, 501, 535, 13.02, 12.76, 137, 9
2017-8-29 12:00:00, 485, 490, 534, 522, 13.09, 13.34, 212, 84
2017-8-30 00:00:00, 490, 494, 520, 521, 13.02, 12.76, 155, 75
2017-8-30 12:00:00, 490, 495, 385, 474, 12.43, 13.45, 84, 200
2017-8-31 00:00:00, 490, 495, 436, 396, 12.43, 12.81, 106, 200
2017-8-31 12:00:00, 495, 492, 388, 396, 12.63, 13.48, 98, 200
