Time, Depth(RAW), Depth(AVG), Velocity(RAW), Velocity(AVG), Temperature(RAW), Battery(RAW), Quartile(RAW), Samples(RAW)
 , mm, mm, mm/s, mm/s, degC, V,  ,  
2017/8/11 12:00:00, 807, 807, 461, 367, 14.14, 14.43, 82, 200
2017/8/12 00:00:00, 802, 802, 383, 377, 13.48, 12.84, 107, 200
2017/8/12 12:00:00, 794, 797, 406, 334, 13.42, 13.58, 79, 200
2017/8/13 00:00:00, 788, 790, 288, 343, 13.29, 12.84, 125, 200
2017/8/13 12:00:00, 783, 785, 152, 307, 13.55, 13.32, 64, 200
2017/8/14 00:00:00, 778, 779, 480, 320, 13.35, 12.84, 114, 200
2017/8/14 12:00:00, 775, 777, 191, 288, 13.48, 13.48, 120, 200
2017/8/15 00:00:00, 778, 777, 349, 309, 13.68, 12.87, 90, 200
2017/8/15 12:00:00, 997, 916, 972, 529, 14.87, 14.38, 83, 200
2017/8/16 00:00:00, 894, 937, 550, 707, 14.28, 12.87, 107, 200
2017/8/16 12:00:00, 860, 875, 407, 572, 14.47, 14.59, 77, 200
2017/8/17 00:00:00, 839, 848, 558, 510, 13.75, 12.84, 109, 200
2017/8/17 12:00:00, 836, 844, 449, 493, 14.14, 13.72, 98, 200
2017/8/18 00:00:00, 825, 827, 337, 462, 13.55, 12.84, 61, 200
2017/8/18 12:00:00, 812, 819, 424, 439, 13.68, 13.42, 68, 200
2017/8/19 00:00:00, 807, 809, 386, 424, 13.22, 12.84, 80, 200
2017/8/19 12:00:00, 804, 805, 517, 396, 13.22, 13.48, 69, 200
2017/8/20 00:00:00, 841, 829, 454, 381, 13.81, 12.84, 81, 200
2017/8/20 12:00:00, 812, 820, 406, 436, 13.62, 13.40, 109, 200
2017/8/21 00:00:00, 804, 805, 322, 411, 13.35, 12.81, 117, 200
2017/8/21 12:00:00, 799, 802, 569, 396, 13.29, 13.53, 116, 200
2017/8/22 00:00:00, 794, 795, 412, 386, 13.22, 12.81, 66, 200
2017/8/22 12:00:00, 791, 794, 434, 380, 13.22, 13.32, 76, 200
2017/8/23 00:00:00, 791, 789, 171, 363, 13.09, 12.81, 100, 200
2017/8/23 12:00:00, 786, 790, 407, 363, 13.02, 13.26, 116, 200
2017/8/24 00:00:00, 786, 787, 271, 349, 12.89, 12.81, 83, 200
2017/8/24 12:00:00, 788, 789, 218, 350, 12.76, 14.01, 83, 200
2017/8/25 00:00:00, 786, 786, 238, 341, 12.82, 12.84, 94, 200
2017/8/25 12:00:00, 786, 786, 279, 339, 12.82, 13.87, 85, 200
