Time, Depth(RAW), Depth(AVG), Velocity(RAW), Velocity(AVG), Temperature(RAW), Battery(RAW), Quartile(RAW), Samples(RAW)
 , mm, mm, mm/s, mm/s, degC, V,  ,  
2017/8/5 00:00:00, 553, 558, 1454, 1531, 12.63, 12.81, 26, 200
2017/8/5 12:00:00, 545, 558, 1382, 1540, 12.69, 13.16, 18, 200
2017/8/6 00:00:00, 590, 583, 1659, 1613, 12.69, 12.81, 12, 200
2017/8/6 12:00:00, 606, 600, 1536, 1604, 12.69, 13.16, 12, 200
2017/8/7 00:00:00, 617, 614, 1693, 1620, 12.82, 12.84, 11, 200
2017/8/7 12:00:00, 580, 623, 1565, 1651, 12.89, 13.11, 11, 200
2017/8/8 00:00:00, 596, 618, 1834, 1616, 12.96, 12.81, 10, 200
2017/8/8 12:00:00, 572, 611, 1581, 1599, 12.96, 13.53, 12, 200
2017/8/9 00:00:00, 606, 606, 1642, 1592, 12.82, 12.79, 9, 200
2017/8/9 12:00:00, 625, 620, 1874, 1661, 12.82, 13.53, 11, 200
2017/8/10 00:00:00, 636, 640, 1986, 1791, 12.76, 12.79, 11, 200
2017/8/10 12:00:00, 665, 652, 1897, 1844, 12.96, 13.21, 54, 200
2017/8/11 00:00:00, 649, 655, 1523, 1831, 13.02, 12.81, 25, 200
2017/8/11 12:00:00, 659, 649, 2012, 1816, 12.96, 13.64, 8, 200
2017/8/12 00:00:00, 643, 645, 1693, 1793, 12.89, 12.84, 8, 200
2017/8/12 12:00:00, 641, 640, 1587, 1776, 12.76, 13.85, 16, 200
2017/8/13 00:00:00, 633, 635, 1763, 1761, 12.56, 12.84, 11, 200
2017/8/13 12:00:00, 646, 631, 1593, 1760, 12.56, 13.29, 10, 200
2017/8/14 00:00:00, 625, 627, 1617, 1742, 12.43, 12.81, 81, 200
2017/8/14 12:00:00, 617, 623, 1831, 1715, 12.36, 13.79, 13, 200
2017/8/15 00:00:00, 601, 618, 1690, 1688, 12.30, 12.81, 10, 200
