Serial_number:
2067332
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2019/07/01,11:11:09,0,7.7194,17.886
2019/07/01,23:11:09,0,66.1530,15.652
2019/07/02,11:11:09,0,66.1426,15.651
2019/07/02,23:11:09,0,66.1395,15.649
2019/07/03,11:11:09,0,66.1214,15.649
2019/07/03,23:11:09,0,66.1250,15.660
2019/07/04,11:11:09,0,66.1139,15.652
2019/07/04,23:11:09,0,66.1408,15.661
2019/07/05,11:11:09,0,66.1385,15.661
2019/07/05,23:11:09,0,66.1364,15.657
2019/07/06,11:11:09,0,66.1354,15.656
2019/07/06,23:11:09,0,66.1249,15.659
2019/07/07,11:11:09,0,66.1226,15.659
2019/07/07,23:11:09,0,66.1275,15.660
2019/07/08,11:11:09,0,66.1254,15.660
2019/07/08,23:11:09,0,66.1321,15.656
2019/07/09,11:11:09,0,66.1381,15.661
2019/07/09,23:11:09,0,66.1471,15.654
2019/07/10,11:11:09,0,66.1527,15.650
2019/07/10,23:11:09,0,66.1589,15.653
2019/07/11,11:11:09,0,66.1582,15.660
2019/07/11,23:11:09,0,66.1773,15.659
2019/07/12,11:11:09,0,66.1756,15.661
2019/07/12,23:11:09,0,66.1890,15.644
2019/07/13,11:11:09,0,66.1835,15.658
2019/07/13,23:11:09,0,66.1937,15.652
2019/07/14,11:11:09,0,66.1768,15.659
2019/07/14,23:11:09,0,66.1895,15.659
2019/07/15,11:11:09,0,66.1848,15.656
2019/07/15,23:11:09,0,66.1957,15.658
2019/07/16,11:11:09,0,66.1921,15.649
2019/07/16,23:11:09,0,66.1977,15.654
2019/07/17,11:11:09,0,66.1980,15.639
2019/07/17,23:11:09,0,66.1944,15.658
2019/07/18,11:11:09,0,66.1860,15.641
2019/07/18,23:11:09,0,66.1884,15.655
2019/07/19,11:11:09,0,66.1858,15.658
2019/07/19,23:11:09,0,66.1834,15.658
2019/07/20,11:11:09,0,66.1883,15.659
2019/07/20,23:11:09,0,66.1896,15.660
2019/07/21,11:11:09,0,66.1815,15.658
2019/07/21,23:11:09,0,66.1705,15.648
2019/07/22,11:11:09,0,66.1651,15.652
2019/07/22,23:11:09,0,66.1627,15.647
2019/07/23,11:11:09,0,66.1829,15.650
2019/07/23,23:11:09,0,66.1903,15.657
2019/07/24,11:11:09,0,66.1936,15.653
2019/07/24,23:11:09,0,66.2036,15.658
2019/07/25,11:11:09,0,66.2051,15.655
2019/07/25,23:11:09,0,66.2082,15.653
2019/07/26,11:11:09,0,66.2043,15.646
2019/07/26,23:11:09,0,66.2179,15.655
2019/07/27,11:11:09,0,66.2110,15.643
2019/07/27,23:11:09,0,66.2228,15.641
2019/07/28,11:11:09,0,66.2161,15.654
2019/07/28,23:11:09,0,66.2210,15.656
2019/07/29,11:11:09,0,66.2127,15.656
2019/07/29,23:11:09,0,66.2353,15.654
2019/07/30,11:11:09,0,66.2303,15.651
2019/07/30,23:11:09,0,66.2488,15.656
2019/07/31,11:11:09,0,66.2548,15.656
2019/07/31,23:11:09,0,66.2614,15.652
2019/08/01,11:11:09,0,66.2635,15.642
2019/08/01,23:11:09,0,66.2612,15.655
2019/08/02,11:11:09,0,66.2584,15.658
2019/08/02,23:11:09,0,66.2608,15.651
2019/08/03,11:11:09,0,66.2561,15.641
2019/08/03,23:11:09,0,66.2763,15.656
2019/08/04,11:11:09,0,66.2730,15.658
2019/08/04,23:11:09,0,66.2716,15.657
2019/08/05,11:11:09,0,66.2995,15.656
2019/08/05,23:11:09,0,66.3075,15.660
2019/08/06,11:11:09,0,66.3074,15.645
2019/08/06,23:11:09,0,66.3209,15.654
2019/08/07,11:11:09,0,66.3194,15.654
2019/08/07,23:11:09,0,66.3344,15.658
2019/08/08,11:11:09,0,66.3354,15.656
2019/08/08,23:11:09,0,66.3392,15.650
2019/08/09,11:11:09,0,66.3539,15.652
2019/08/09,23:11:09,0,66.3637,15.655
2019/08/10,11:11:09,0,66.3649,15.646
2019/08/10,23:11:09,0,66.3739,15.648
2019/08/11,11:11:09,0,66.3670,15.649
2019/08/11,23:11:09,0,66.3777,15.656
2019/08/12,11:11:09,0,66.3761,15.643
2019/08/12,23:11:09,0,66.3840,15.657
2019/08/13,11:11:09,0,66.3750,15.652
2019/08/13,23:11:09,0,66.3884,15.660
2019/08/14,11:11:09,0,66.4132,15.652
2019/08/14,23:11:09,0,66.4206,15.659
2019/08/15,11:11:09,0,66.4107,15.657
2019/08/15,23:11:09,0,66.4143,15.638
2019/08/16,11:11:09,0,66.4080,15.651
2019/08/16,23:11:09,0,66.4097,15.654
2019/08/17,11:11:09,0,66.4114,15.656
2019/08/17,23:11:09,0,66.4163,15.655
2019/08/18,11:11:09,0,66.4207,15.656
2019/08/18,23:11:09,0,66.4179,15.650
2019/08/19,11:11:09,0,66.4224,15.656
2019/08/19,23:11:09,0,66.4201,15.644
2019/08/20,11:11:09,0,66.4305,15.657
2019/08/20,23:11:09,0,66.4279,15.659
2019/08/21,11:11:09,0,66.4388,15.649
2019/08/21,23:11:09,0,66.4340,15.657
2019/08/22,11:11:09,0,66.4372,15.642
2019/08/22,23:11:09,0,66.4436,15.657
2019/08/23,11:11:09,0,66.4601,15.640
2019/08/23,23:11:09,0,66.4691,15.652
2019/08/24,11:11:09,0,66.4587,15.655
2019/08/24,23:11:09,0,66.4675,15.656
2019/08/25,11:11:09,0,66.4553,15.649
2019/08/25,23:11:09,0,66.4562,15.656
2019/08/26,11:11:09,0,66.4355,15.660
2019/08/26,23:11:09,0,66.4460,15.657
2019/08/27,11:11:09,0,66.4402,15.655
2019/08/27,23:11:09,0,66.4637,15.654
2019/08/28,11:11:09,0,66.4659,15.654
2019/08/28,23:11:09,0,66.4755,15.653
2019/08/29,11:11:09,0,66.4573,15.656
2019/08/29,23:11:09,0,66.4542,15.656
2019/08/30,11:11:09,0,66.4586,15.660
2019/08/30,23:11:09,0,66.4645,15.659
2019/08/31,11:11:09,0,66.4650,15.651
2019/08/31,23:11:09,0,66.4695,15.657
2019/09/01,11:11:09,0,66.4696,15.655
2019/09/01,23:11:09,0,66.4719,15.640
2019/09/02,11:11:09,0,66.4731,15.659
2019/09/02,23:11:09,0,66.4959,15.654
2019/09/03,11:11:09,0,66.5006,15.652
2019/09/03,23:11:09,0,66.5027,15.652
2019/09/04,11:11:09,0,66.4952,15.654
2019/09/04,23:11:09,0,66.4993,15.655
2019/09/05,11:11:09,0,66.4953,15.655
2019/09/05,23:11:09,0,66.4960,15.656
2019/09/06,11:11:09,0,66.5064,15.657
2019/09/06,23:11:09,0,66.5187,15.659
2019/09/07,11:11:09,0,66.5205,15.660
2019/09/07,23:11:09,0,66.5358,15.656
2019/09/08,11:11:09,0,66.5283,15.660
2019/09/08,23:11:09,0,66.5351,15.653
2019/09/09,11:11:09,0,66.5293,15.653
2019/09/09,23:11:09,0,66.5351,15.657
2019/09/10,11:11:09,0,66.5547,15.650
2019/09/10,23:11:09,0,66.5719,15.648
2019/09/11,11:11:09,0,66.5824,15.641
2019/09/11,23:11:09,0,66.6046,15.649
2019/09/12,11:11:09,0,66.6099,15.645
2019/09/12,23:11:09,0,66.6106,15.657
2019/09/13,11:11:09,0,66.6166,15.659
2019/09/13,23:11:09,0,66.6151,15.650
2019/09/14,11:11:09,0,66.6248,15.654
2019/09/14,23:11:09,0,66.6356,15.654
2019/09/15,11:11:09,0,66.6389,15.650
2019/09/15,23:11:09,0,66.6413,15.660
2019/09/16,11:11:09,0,66.6484,15.646
2019/09/16,23:11:09,0,66.6449,15.657
2019/09/17,11:11:09,0,66.6599,15.660
2019/09/17,23:11:09,0,66.6610,15.657
2019/09/18,11:11:09,0,66.6772,15.639
2019/09/18,23:11:09,0,66.6764,15.654
2019/09/19,11:11:09,0,66.6746,15.661
2019/09/19,23:11:09,0,66.6676,15.660
2019/09/20,11:11:09,0,66.6660,15.654
2019/09/20,23:11:09,0,66.6737,15.650
2019/09/21,11:11:09,0,66.6845,15.653
2019/09/21,23:11:09,0,66.7051,15.656
2019/09/22,11:11:09,0,66.7059,15.658
2019/09/22,23:11:09,0,66.7063,15.648
2019/09/23,11:11:09,0,66.7006,15.658
2019/09/23,23:11:09,0,66.7024,15.653
2019/09/24,11:11:09,0,66.7020,15.649
2019/09/24,23:11:09,0,66.7113,15.660
2019/09/25,11:11:09,0,66.7127,15.652
2019/09/25,23:11:09,0,66.7389,15.656
2019/09/26,11:11:09,0,66.7375,15.649
2019/09/26,23:11:09,0,66.7548,15.663
2019/09/27,11:11:09,0,66.7525,15.649
2019/09/27,23:11:09,0,66.7651,15.654
2019/09/28,11:11:09,0,66.7579,15.647
2019/09/28,23:11:09,0,66.7602,15.644
2019/09/29,11:11:09,0,66.7615,15.643
2019/09/29,23:11:09,0,66.7478,15.658
2019/09/30,11:11:09,0,66.7414,15.640
2019/09/30,23:11:09,0,66.7378,15.657
2019/10/01,11:11:09,0,66.7414,15.653
2019/10/01,23:11:09,0,66.7471,15.657
2019/10/02,11:11:09,0,66.7542,15.643
2019/10/02,23:11:09,0,66.7549,15.642
2019/10/03,11:11:09,0,66.7536,15.653
2019/10/03,23:11:09,0,66.7578,15.658
2019/10/04,11:11:09,0,66.7538,15.653
2019/10/04,23:11:09,0,66.7564,15.660
2019/10/05,11:11:09,0,66.7785,15.650
2019/10/05,23:11:09,0,66.7877,15.642
2019/10/06,11:11:09,0,66.7906,15.659
2019/10/06,23:11:09,0,66.7978,15.654
2019/10/07,11:11:09,0,66.8059,15.658
2019/10/07,23:11:09,0,66.8080,15.646
