Serial_number:
2063428
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2019/06/29,12:30:29,0,7.2570,25.096
2019/06/30,12:30:29,0,45.2681,8.718
2019/07/01,12:30:29,0,45.2474,8.716
2019/07/02,12:30:29,0,45.2129,8.714
2019/07/03,12:30:29,0,45.1763,8.713
2019/07/04,12:30:29,0,45.1532,8.712
2019/07/05,12:30:29,0,45.1266,8.711
2019/07/06,12:30:29,0,45.1052,8.711
2019/07/07,12:30:29,0,45.0818,8.710
2019/07/08,12:30:29,0,45.0706,8.710
2019/07/09,12:30:29,0,45.0598,8.709
2019/07/10,12:30:29,0,45.0407,8.708
2019/07/11,12:30:29,0,45.0269,8.708
2019/07/12,12:30:29,0,45.0149,8.708
2019/07/13,12:30:29,0,45.0029,8.708
2019/07/14,12:30:29,0,44.9939,8.707
2019/07/15,12:30:29,0,44.9853,8.706
2019/07/16,12:30:29,0,44.9891,8.707
2019/07/17,12:30:29,0,44.9858,8.707
2019/07/18,12:30:29,0,44.9752,8.706
2019/07/19,12:30:29,0,44.9707,8.707
2019/07/20,12:30:29,0,44.9656,8.706
2019/07/21,12:30:29,0,44.9570,8.706
2019/07/22,12:30:29,0,44.9444,8.706
2019/07/23,12:30:29,0,44.9349,8.706
2019/07/24,12:30:29,0,44.9266,8.706
2019/07/25,12:30:29,0,44.9297,8.705
2019/07/26,12:30:29,0,44.9234,8.704
2019/07/27,12:30:29,0,44.9186,8.705
2019/07/28,12:30:29,0,44.9215,8.704
2019/07/29,12:30:29,0,44.9192,8.705
2019/07/30,12:30:29,0,44.9342,8.704
2019/07/31,12:30:29,0,44.9425,8.703
2019/08/01,12:30:29,0,44.9676,8.704
2019/08/02,12:30:29,0,44.9833,8.703
2019/08/03,12:30:29,0,44.9970,8.703
2019/08/04,12:30:29,0,45.0369,8.703
2019/08/05,12:30:29,0,45.0723,8.703
2019/08/06,12:30:29,0,45.1200,8.702
2019/08/07,12:30:29,0,45.1652,8.703
2019/08/08,12:30:29,0,45.2135,8.702
2019/08/09,12:30:29,0,45.2668,8.702
2019/08/10,12:30:29,0,45.3312,8.702
2019/08/11,12:30:29,0,45.3938,8.702
2019/08/12,12:30:29,0,45.4567,8.701
2019/08/13,12:30:29,0,45.5149,8.701
2019/08/14,12:30:29,0,45.5977,8.701
2019/08/15,12:30:29,0,45.6820,8.701
2019/08/16,12:30:29,0,45.7495,8.701
2019/08/17,12:30:29,0,45.8281,8.700
2019/08/18,12:30:29,0,45.9129,8.700
2019/08/19,12:30:29,0,45.9896,8.700
2019/08/20,12:30:29,0,46.0756,8.700
2019/08/21,12:30:29,0,46.1599,8.700
2019/08/22,12:30:29,0,46.2258,8.699
2019/08/23,12:30:29,0,46.3153,8.700
2019/08/24,12:30:29,0,46.3978,8.699
2019/08/25,12:30:29,0,46.4698,8.699
2019/08/26,12:30:29,0,46.5315,8.699
2019/08/27,12:30:29,0,46.5924,8.699
2019/08/28,12:30:29,0,46.6671,8.699
2019/08/29,12:30:29,0,46.7178,8.699
2019/08/30,12:30:29,0,46.7806,8.698
2019/08/31,12:30:29,0,46.8448,8.698
2019/09/01,12:30:29,0,46.9181,8.698
2019/09/02,12:30:29,0,46.9947,8.698
2019/09/03,12:30:29,0,47.0690,8.698
2019/09/04,12:30:29,0,47.1363,8.697
2019/09/05,12:30:29,0,47.2053,8.697
2019/09/06,12:30:29,0,47.2719,8.697
2019/09/07,12:30:29,0,47.3539,8.697
2019/09/08,12:30:29,0,47.4315,8.697
2019/09/09,12:30:29,0,47.5106,8.696
2019/09/10,12:30:29,0,47.6063,8.697
2019/09/11,12:30:29,0,47.7121,8.696
2019/09/12,12:30:29,0,47.8125,8.696
2019/09/13,12:30:29,0,47.9085,8.696
2019/09/14,12:30:29,0,48.0059,8.696
2019/09/15,12:30:29,0,48.1036,8.696
2019/09/16,12:30:29,0,48.1932,8.696
2019/09/17,12:30:29,0,48.2750,8.696
2019/09/18,12:30:29,0,48.3758,8.695
2019/09/19,12:30:29,0,48.5037,8.695
2019/09/20,12:30:29,0,48.5732,8.696
2019/09/21,12:30:29,0,48.6642,8.695
2019/09/22,12:30:29,0,48.7662,8.695
2019/09/23,12:30:29,0,48.8521,8.695
2019/09/24,12:30:29,0,48.9230,8.695
2019/09/25,12:30:29,0,49.0027,8.696
2019/09/26,12:30:29,0,49.0723,8.695
2019/09/27,12:30:29,0,49.1342,8.695
2019/09/28,12:30:29,0,49.1979,8.696
2019/09/29,12:30:29,0,49.2504,8.695
2019/09/30,12:30:29,0,49.2980,8.695
2019/10/01,12:30:29,0,49.3458,8.695
2019/10/02,12:30:29,0,49.4023,8.695
2019/10/03,12:30:29,0,49.4630,8.695
2019/10/04,12:30:29,0,49.5120,8.695
2019/10/05,12:30:29,0,49.5740,8.695
2019/10/06,12:30:29,0,49.6296,8.696
2019/10/07,12:30:29,0,49.6787,8.695
